Time(ms),ADC,Voltage(V)
16.000,655,0.704
16.000,655,0.704
16.000,655,0.704
16.000,655,0.704
16.000,655,0.704
32.000,655,0.704
32.000,655,0.704
32.000,656,0.705
47.000,655,0.704
47.000,655,0.704
47.000,655,0.704
63.000,655,0.704
63.000,655,0.704
63.000,655,0.704
78.000,655,0.704
78.000,655,0.704
78.000,655,0.704
94.000,655,0.704
94.000,655,0.704
110.000,654,0.703
110.000,655,0.704
110.000,655,0.704
110.000,655,0.704
125.000,655,0.704
125.000,655,0.704
125.000,656,0.705
141.000,655,0.704
141.000,655,0.704
141.000,655,0.704
157.000,655,0.704
157.000,655,0.704
157.000,655,0.704
172.000,655,0.704
172.000,655,0.704
172.000,655,0.704
172.000,655,0.704
188.000,655,0.704
188.000,655,0.704
188.000,656,0.705
203.000,657,0.706
203.000,657,0.706
203.000,657,0.706
219.000,657,0.706
235.000,657,0.706
235.000,657,0.706
235.000,657,0.706
235.000,657,0.706
235.000,657,0.706
250.000,657,0.706
250.000,657,0.706
250.000,657,0.706
266.000,657,0.706
266.000,657,0.706
266.000,657,0.706
282.000,657,0.706
282.000,657,0.706
282.000,656,0.705
297.000,657,0.706
297.000,657,0.706
297.000,657,0.706
313.000,657,0.706
313.000,657,0.706
313.000,657,0.706
313.000,657,0.706
328.000,657,0.706
328.000,657,0.706
328.000,657,0.706
360.000,657,0.706
360.000,657,0.706
360.000,657,0.706
360.000,657,0.706
360.000,657,0.706
360.000,657,0.706
375.000,657,0.706
375.000,657,0.706
375.000,657,0.706
391.000,657,0.706
391.000,657,0.706
391.000,657,0.706
407.000,657,0.706
407.000,657,0.706
407.000,657,0.706
422.000,658,0.708
422.000,657,0.706
422.000,657,0.706
438.000,657,0.706
438.000,657,0.706
438.000,657,0.706
453.000,657,0.706
453.000,657,0.706
453.000,658,0.708
469.000,658,0.708
469.000,657,0.706
469.000,657,0.706
485.000,657,0.706
485.000,658,0.708
485.000,658,0.708
485.000,658,0.708
500.000,658,0.708
500.000,658,0.708
500.000,658,0.708
516.000,657,0.706
516.000,658,0.708
516.000,658,0.708
532.000,658,0.708
532.000,658,0.708
532.000,659,0.709
547.000,658,0.708
547.000,658,0.708
547.000,658,0.708
563.000,658,0.708
563.000,658,0.708
563.000,658,0.708
578.000,658,0.708
594.000,658,0.708
594.000,658,0.708
594.000,659,0.709
594.000,659,0.709
594.000,660,0.710
610.000,660,0.710
610.000,661,0.711
610.000,661,0.711
625.000,661,0.711
625.000,661,0.711
625.000,661,0.711
641.000,660,0.710
641.000,661,0.711
641.000,661,0.711
657.000,661,0.711
657.000,661,0.711
657.000,661,0.711
657.000,661,0.711
672.000,661,0.711
672.000,661,0.711
672.000,661,0.711
688.000,661,0.711
688.000,661,0.711
688.000,661,0.711
703.000,661,0.711
719.000,661,0.711
719.000,661,0.711
719.000,661,0.711
719.000,661,0.711
719.000,661,0.711
735.000,661,0.711
735.000,661,0.711
735.000,661,0.711
750.000,661,0.711
750.000,661,0.711
750.000,661,0.711
766.000,661,0.711
766.000,661,0.711
766.000,661,0.711
782.000,661,0.711
782.000,661,0.711
782.000,661,0.711
782.000,661,0.711
797.000,661,0.711
797.000,661,0.711
813.000,661,0.711
813.000,661,0.711
813.000,661,0.711
813.000,661,0.711
828.000,661,0.711
828.000,662,0.712
828.000,661,0.711
844.000,661,0.711
844.000,661,0.711
844.000,662,0.712
860.000,661,0.711
860.000,661,0.711
860.000,662,0.712
875.000,661,0.711
875.000,662,0.712
875.000,661,0.711
891.000,661,0.711
891.000,661,0.711
891.000,662,0.712
907.000,661,0.711
907.000,661,0.711
922.000,661,0.711
922.000,661,0.711
922.000,662,0.712
922.000,661,0.711
938.000,662,0.712
938.000,662,0.712
938.000,662,0.712
953.000,662,0.712
953.000,662,0.712
953.000,662,0.712
953.000,662,0.712
969.000,662,0.712
969.000,662,0.712
969.000,662,0.712
985.000,662,0.712
985.000,661,0.711
985.000,662,0.712
1000.000,661,0.711
1000.000,661,0.711
1000.000,661,0.711
1016.000,662,0.712
1016.000,661,0.711
1032.000,662,0.712
1032.000,662,0.712
1032.000,661,0.711
1032.000,662,0.712
1047.000,662,0.712
1047.000,662,0.712
1047.000,662,0.712
1063.000,662,0.712
1063.000,662,0.712
1063.000,662,0.712
1078.000,662,0.712
1078.000,662,0.712
1078.000,662,0.712
1078.000,662,0.712
1094.000,661,0.711
1094.000,662,0.712
1094.000,662,0.712
1110.000,662,0.712
1110.000,662,0.712
1110.000,662,0.712
1125.000,662,0.712
1125.000,662,0.712
1141.000,662,0.712
1141.000,662,0.712
1141.000,662,0.712
1141.000,663,0.713
1157.000,662,0.712
1157.000,662,0.712
1157.000,662,0.712
1172.000,663,0.713
1172.000,663,0.713
1172.000,663,0.713
1188.000,664,0.714
1188.000,664,0.714
1188.000,665,0.715
1203.000,666,0.716
1203.000,666,0.716
1203.000,667,0.717
1219.000,667,0.717
1219.000,667,0.717
1219.000,668,0.718
1235.000,669,0.719
1235.000,669,0.719
1250.000,670,0.720
1250.000,671,0.722
1250.000,672,0.723
1250.000,672,0.723
1250.000,673,0.724
1266.000,673,0.724
1266.000,672,0.723
1266.000,674,0.725
1282.000,673,0.724
1282.000,673,0.724
1282.000,673,0.724
1297.000,673,0.724
1297.000,673,0.724
1297.000,673,0.724
1313.000,673,0.724
1313.000,673,0.724
1313.000,673,0.724
1328.000,673,0.724
1328.000,672,0.723
1328.000,673,0.724
1344.000,673,0.724
1344.000,673,0.724
1344.000,673,0.724
1360.000,673,0.724
1375.000,673,0.724
1375.000,673,0.724
1375.000,673,0.724
1375.000,673,0.724
1375.000,674,0.725
1391.000,673,0.724
1391.000,673,0.724
1391.000,673,0.724
1407.000,673,0.724
1407.000,673,0.724
1407.000,673,0.724
1422.000,673,0.724
1422.000,673,0.724
1422.000,673,0.724
1422.000,673,0.724
1438.000,673,0.724
1438.000,673,0.724
1438.000,673,0.724
1453.000,674,0.725
1453.000,673,0.724
1453.000,672,0.723
1469.000,673,0.724
1469.000,673,0.724
1469.000,673,0.724
1485.000,673,0.724
1485.000,673,0.724
1485.000,673,0.724
1500.000,673,0.724
1500.000,673,0.724
1500.000,673,0.724
1516.000,673,0.724
1516.000,673,0.724
1516.000,673,0.724
1532.000,673,0.724
1532.000,673,0.724
1532.000,673,0.724
1547.000,673,0.724
1547.000,674,0.725
1547.000,674,0.725
1547.000,674,0.725
1563.000,675,0.726
1563.000,674,0.725
1578.000,674,0.725
1578.000,675,0.726
1578.000,674,0.725
1594.000,675,0.726
1594.000,674,0.725
1594.000,674,0.725
1594.000,675,0.726
1610.000,675,0.726
1610.000,675,0.726
1610.000,675,0.726
1625.000,675,0.726
1625.000,675,0.726
1625.000,674,0.725
1641.000,674,0.725
1641.000,674,0.725
1641.000,674,0.725
1657.000,675,0.726
1657.000,675,0.726
1657.000,675,0.726
1672.000,675,0.726
1672.000,675,0.726
1672.000,674,0.725
1688.000,675,0.726
1688.000,675,0.726
1703.000,675,0.726
1703.000,676,0.727
1703.000,675,0.726
1703.000,674,0.725
1719.000,675,0.726
1719.000,675,0.726
1719.000,675,0.726
1719.000,675,0.726
1735.000,675,0.726
1735.000,675,0.726
1735.000,675,0.726
1750.000,675,0.726
1750.000,675,0.726
1750.000,675,0.726
1766.000,675,0.726
1766.000,675,0.726
1766.000,675,0.726
1782.000,675,0.726
1782.000,675,0.726
1782.000,676,0.727
1797.000,677,0.728
1813.000,676,0.727
1813.000,676,0.727
1813.000,676,0.727
1813.000,677,0.728
1813.000,677,0.728
1828.000,677,0.728
1828.000,677,0.728
1828.000,676,0.727
1844.000,677,0.728
1844.000,676,0.727
1844.000,677,0.728
1860.000,677,0.728
1860.000,677,0.728
1860.000,676,0.727
1875.000,676,0.727
1875.000,676,0.727
1875.000,677,0.728
1875.000,677,0.728
1891.000,677,0.728
1891.000,677,0.728
1907.000,677,0.728
1907.000,676,0.727
1907.000,676,0.727
1907.000,676,0.727
1922.000,677,0.728
1938.000,676,0.727
1938.000,676,0.727
1938.000,676,0.727
1938.000,676,0.727
1938.000,677,0.728
1953.000,676,0.727
1953.000,676,0.727
1953.000,676,0.727
1969.000,676,0.727
1969.000,677,0.728
1969.000,677,0.728
1985.000,676,0.727
1985.000,676,0.727
1985.000,676,0.727
2000.000,677,0.728
2000.000,676,0.727
2000.000,677,0.728
2016.000,676,0.727
2016.000,677,0.728
2016.000,677,0.728
2032.000,676,0.727
2032.000,677,0.728
2032.000,677,0.728
2032.000,677,0.728
2063.000,677,0.728
2063.000,677,0.728
2063.000,677,0.728
2063.000,677,0.728
2063.000,677,0.728
2063.000,677,0.728
2078.000,676,0.727
2078.000,677,0.728
2078.000,677,0.728
2094.000,677,0.728
2094.000,677,0.728
2094.000,677,0.728
2110.000,677,0.728
2110.000,677,0.728
2110.000,677,0.728
2125.000,677,0.728
2125.000,677,0.728
2125.000,676,0.727
2141.000,677,0.728
2141.000,676,0.727
2141.000,676,0.727
2157.000,677,0.728
2157.000,677,0.728
2157.000,677,0.728
2172.000,677,0.728
2188.000,677,0.728
2188.000,677,0.728
2188.000,677,0.728
2188.000,677,0.728
2188.000,677,0.728
2203.000,677,0.728
2203.000,677,0.728
2203.000,677,0.728
2203.000,677,0.728
2219.000,677,0.728
2219.000,677,0.728
2219.000,677,0.728
2235.000,677,0.728
2235.000,677,0.728
2235.000,677,0.728
2250.000,676,0.727
2250.000,676,0.727
2250.000,676,0.727
2266.000,677,0.728
2266.000,677,0.728
2266.000,677,0.728
2282.000,677,0.728
2282.000,677,0.728
2282.000,677,0.728
2297.000,677,0.728
2297.000,677,0.728
2297.000,677,0.728
2313.000,677,0.728
2313.000,677,0.728
2313.000,677,0.728
2328.000,677,0.728
2328.000,677,0.728
2328.000,677,0.728
2344.000,677,0.728
2344.000,677,0.728
2344.000,677,0.728
2344.000,677,0.728
2360.000,677,0.728
2360.000,677,0.728
2375.000,677,0.728
2375.000,678,0.729
2375.000,677,0.728
2375.000,677,0.728
2391.000,677,0.728
2391.000,677,0.728
2391.000,677,0.728
2407.000,677,0.728
2422.000,677,0.728
2422.000,678,0.729
2422.000,677,0.728
2422.000,678,0.729
2422.000,677,0.728
2438.000,678,0.729
2438.000,677,0.728
2438.000,677,0.728
2453.000,678,0.729
2453.000,677,0.728
2453.000,677,0.728
2469.000,677,0.728
2469.000,678,0.729
2469.000,678,0.729
2485.000,677,0.728
2485.000,678,0.729
2485.000,678,0.729
2500.000,678,0.729
2500.000,678,0.729
2500.000,678,0.729
2516.000,678,0.729
2516.000,678,0.729
2516.000,678,0.729
2516.000,678,0.729
2547.000,678,0.729
2547.000,678,0.729
2547.000,677,0.728
2547.000,678,0.729
2547.000,678,0.729
2547.000,677,0.728
2563.000,678,0.729
2563.000,678,0.729
2563.000,678,0.729
2578.000,678,0.729
2578.000,678,0.729
2578.000,678,0.729
2594.000,678,0.729
2594.000,678,0.729
2594.000,678,0.729
2610.000,678,0.729
2610.000,677,0.728
2610.000,678,0.729
2625.000,678,0.729
2625.000,678,0.729
2625.000,678,0.729
2641.000,678,0.729
2641.000,678,0.729
2641.000,677,0.728
2657.000,677,0.728
2657.000,678,0.729
2657.000,678,0.729
2657.000,678,0.729
2672.000,678,0.729
2672.000,678,0.729
2688.000,678,0.729
2688.000,678,0.729
2688.000,678,0.729
2688.000,678,0.729
2703.000,678,0.729
2703.000,678,0.729
2719.000,678,0.729
2719.000,678,0.729
2719.000,678,0.729
2719.000,678,0.729
2735.000,678,0.729
2735.000,678,0.729
2735.000,678,0.729
2750.000,678,0.729
2750.000,677,0.728
2750.000,678,0.729
2766.000,678,0.729
2766.000,678,0.729
2766.000,678,0.729
2782.000,678,0.729
2782.000,678,0.729
2782.000,678,0.729
2797.000,678,0.729
2797.000,678,0.729
2797.000,678,0.729
2813.000,678,0.729
2813.000,678,0.729
2813.000,678,0.729
2828.000,678,0.729
2828.000,678,0.729
2828.000,678,0.729
2844.000,678,0.729
2844.000,678,0.729
2844.000,678,0.729
2844.000,678,0.729
2860.000,678,0.729
2860.000,678,0.729
2875.000,678,0.729
2875.000,678,0.729
2875.000,678,0.729
2875.000,678,0.729
2891.000,678,0.729
2891.000,678,0.729
2891.000,678,0.729
2907.000,678,0.729
2907.000,678,0.729
2907.000,678,0.729
2922.000,678,0.729
2922.000,678,0.729
2922.000,678,0.729
2938.000,678,0.729
2938.000,678,0.729
2938.000,678,0.729
2953.000,678,0.729
2953.000,678,0.729
2953.000,678,0.729
2969.000,678,0.729
2969.000,678,0.729
2985.000,678,0.729
2985.000,679,0.730
2985.000,678,0.729
2985.000,679,0.730
2985.000,678,0.729
3000.000,678,0.729
3000.000,678,0.729
3016.000,678,0.729
3016.000,678,0.729
3016.000,678,0.729
3016.000,678,0.729
3032.000,678,0.729
3032.000,678,0.729
3032.000,678,0.729
3047.000,678,0.729
3047.000,678,0.729
3047.000,679,0.730
3063.000,678,0.729
3063.000,678,0.729
3063.000,678,0.729
3078.000,678,0.729
3078.000,678,0.729
3078.000,679,0.730
3094.000,679,0.730
3110.000,679,0.730
3110.000,680,0.731
3110.000,680,0.731
3110.000,680,0.731
3110.000,681,0.732
3125.000,681,0.732
3125.000,682,0.733
3125.000,682,0.733
3141.000,682,0.733
3141.000,682,0.733
3141.000,683,0.734
3141.000,682,0.733
3157.000,682,0.733
3157.000,682,0.733
3157.000,682,0.733
3172.000,682,0.733
3172.000,682,0.733
3172.000,682,0.733
3188.000,682,0.733
3188.000,683,0.734
3188.000,682,0.733
3203.000,682,0.733
3203.000,682,0.733
3203.000,682,0.733
3219.000,682,0.733
3219.000,683,0.734
3219.000,682,0.733
3235.000,682,0.733
3235.000,682,0.733
3235.000,682,0.733
3250.000,682,0.733
3250.000,682,0.733
3250.000,682,0.733
3266.000,682,0.733
3266.000,683,0.734
3266.000,683,0.734
3282.000,684,0.735
3282.000,684,0.735
3282.000,685,0.737
3297.000,685,0.737
3297.000,685,0.737
3297.000,687,0.739
3313.000,687,0.739
3328.000,687,0.739
3328.000,687,0.739
3328.000,688,0.740
3328.000,688,0.740
3328.000,689,0.741
3328.000,690,0.742
3344.000,691,0.743
3344.000,691,0.743
3344.000,668,0.718
3360.000,669,0.719
3360.000,670,0.720
3360.000,670,0.720
3375.000,671,0.722
3375.000,671,0.722
3375.000,671,0.722
3391.000,672,0.723
3391.000,670,0.720
3391.000,670,0.720
3407.000,670,0.720
3407.000,670,0.720
3407.000,670,0.720
3422.000,669,0.719
3422.000,669,0.719
3422.000,669,0.719
3438.000,668,0.718
3453.000,668,0.718
3453.000,668,0.718
3453.000,667,0.717
3453.000,667,0.717
3453.000,667,0.717
3469.000,667,0.717
3469.000,666,0.716
3469.000,666,0.716
3469.000,666,0.716
3485.000,666,0.716
3485.000,665,0.715
3485.000,665,0.715
3500.000,664,0.714
3500.000,664,0.714
3500.000,664,0.714
3516.000,664,0.714
3516.000,664,0.714
3516.000,663,0.713
3532.000,663,0.713
3532.000,663,0.713
3532.000,663,0.713
3547.000,663,0.713
3547.000,662,0.712
3547.000,662,0.712
3563.000,661,0.711
3578.000,662,0.712
3578.000,661,0.711
3578.000,662,0.712
3578.000,662,0.712
3578.000,662,0.712
3594.000,662,0.712
3594.000,662,0.712
3594.000,662,0.712
3610.000,662,0.712
3610.000,662,0.712
3610.000,662,0.712
3610.000,662,0.712
3625.000,662,0.712
3625.000,662,0.712
3625.000,662,0.712
3641.000,662,0.712
3641.000,662,0.712
3641.000,662,0.712
3657.000,662,0.712
3657.000,662,0.712
3657.000,662,0.712
3672.000,662,0.712
3672.000,662,0.712
3672.000,662,0.712
3688.000,662,0.712
3688.000,662,0.712
3688.000,663,0.713
3703.000,662,0.712
3703.000,663,0.713
3703.000,662,0.712
3719.000,663,0.713
3719.000,662,0.712
3719.000,663,0.713
3735.000,662,0.712
3735.000,662,0.712
3735.000,663,0.713
3750.000,662,0.712
3750.000,663,0.713
3750.000,663,0.713
3766.000,662,0.712
3766.000,663,0.713
3766.000,662,0.712
3782.000,663,0.713
3782.000,662,0.712
3782.000,663,0.713
3782.000,662,0.712
3797.000,662,0.712
3813.000,662,0.712
3813.000,663,0.713
3813.000,663,0.713
3813.000,663,0.713
3813.000,663,0.713
3828.000,663,0.713
3828.000,663,0.713
3828.000,663,0.713
3844.000,663,0.713
3844.000,663,0.713
3844.000,663,0.713
3860.000,663,0.713
3860.000,663,0.713
3860.000,663,0.713
3875.000,663,0.713
3875.000,663,0.713
3875.000,663,0.713
3891.000,663,0.713
3891.000,663,0.713
3891.000,663,0.713
3907.000,663,0.713
3907.000,663,0.713
3907.000,663,0.713
3907.000,663,0.713
3938.000,663,0.713
3938.000,663,0.713
3938.000,663,0.713
3938.000,664,0.714
3938.000,663,0.713
3938.000,663,0.713
3953.000,663,0.713
3953.000,663,0.713
3953.000,663,0.713
3969.000,663,0.713
3969.000,663,0.713
3969.000,663,0.713
3985.000,663,0.713
3985.000,663,0.713
3985.000,663,0.713
4000.000,663,0.713
4000.000,663,0.713
4000.000,664,0.714
4016.000,664,0.714
4016.000,663,0.713
4016.000,663,0.713
4032.000,664,0.714
4032.000,663,0.713
4032.000,664,0.714
4047.000,663,0.713
4047.000,663,0.713
4047.000,663,0.713
4063.000,663,0.713
4063.000,663,0.713
4063.000,664,0.714
4078.000,663,0.713
4078.000,663,0.713
4078.000,664,0.714
4078.000,663,0.713
4094.000,664,0.714
4094.000,663,0.713
4094.000,664,0.714
4110.000,664,0.714
4110.000,664,0.714
4110.000,664,0.714
4125.000,664,0.714
4125.000,664,0.714
4125.000,664,0.714
4141.000,664,0.714
4141.000,664,0.714
4157.000,664,0.714
4157.000,664,0.714
4157.000,664,0.714
4157.000,664,0.714
4172.000,663,0.713
4172.000,663,0.713
4172.000,664,0.714
4188.000,663,0.713
4188.000,664,0.714
4188.000,664,0.714
4203.000,664,0.714
4203.000,663,0.713
4203.000,664,0.714
4219.000,664,0.714
4219.000,664,0.714
4219.000,664,0.714
4235.000,664,0.714
4235.000,664,0.714
4235.000,664,0.714
4250.000,664,0.714
4250.000,664,0.714
4250.000,664,0.714
4266.000,664,0.714
4266.000,664,0.714
4266.000,664,0.714
4266.000,664,0.714
4282.000,664,0.714
4282.000,664,0.714
4282.000,664,0.714
4297.000,664,0.714
4297.000,664,0.714
4297.000,664,0.714
4313.000,664,0.714
4313.000,664,0.714
4313.000,664,0.714
4328.000,664,0.714
4328.000,664,0.714
4328.000,664,0.714
4344.000,664,0.714
4344.000,664,0.714
4344.000,664,0.714
4360.000,664,0.714
4360.000,665,0.715
4375.000,664,0.714
4375.000,664,0.714
4375.000,664,0.714
4375.000,664,0.714
4391.000,664,0.714
4391.000,664,0.714
4391.000,665,0.715
4391.000,664,0.714
4407.000,664,0.714
4407.000,664,0.714
4407.000,665,0.715
4422.000,664,0.714
4422.000,665,0.715
4422.000,664,0.714
4438.000,665,0.715
4438.000,664,0.714
4438.000,665,0.715
4453.000,664,0.714
4453.000,665,0.715
4453.000,665,0.715
4469.000,664,0.714
4469.000,665,0.715
4485.000,664,0.714
4485.000,664,0.714
4485.000,665,0.715
4485.000,665,0.715
4500.000,665,0.715
4500.000,665,0.715
4500.000,665,0.715
4516.000,664,0.714
4516.000,665,0.715
4516.000,665,0.715
4532.000,665,0.715
4532.000,665,0.715
4532.000,665,0.715
4547.000,665,0.715
4547.000,665,0.715
4547.000,665,0.715
4547.000,665,0.715
4563.000,665,0.715
4563.000,665,0.715
4563.000,665,0.715
4578.000,665,0.715
4578.000,665,0.715
4578.000,665,0.715
4594.000,665,0.715
4610.000,665,0.715
4610.000,665,0.715
4610.000,665,0.715
4610.000,665,0.715
4610.000,665,0.715
4625.000,665,0.715
4625.000,665,0.715
4625.000,665,0.715
4641.000,665,0.715
4641.000,665,0.715
4641.000,665,0.715
4657.000,665,0.715
4657.000,665,0.715
4657.000,665,0.715
4672.000,665,0.715
4672.000,665,0.715
4672.000,665,0.715
4688.000,665,0.715
4688.000,665,0.715
4688.000,665,0.715
4703.000,665,0.715
4703.000,665,0.715
4719.000,665,0.715
4719.000,665,0.715
4719.000,665,0.715
4719.000,665,0.715
4719.000,665,0.715
4735.000,665,0.715
4735.000,665,0.715
4735.000,665,0.715
4750.000,665,0.715
4750.000,665,0.715
4750.000,665,0.715
4766.000,665,0.715
4766.000,665,0.715
4766.000,665,0.715
4782.000,666,0.716
4782.000,665,0.715
4782.000,665,0.715
4797.000,665,0.715
4797.000,666,0.716
4797.000,665,0.715
4813.000,665,0.715
4813.000,665,0.715
4813.000,665,0.715
4828.000,665,0.715
4828.000,665,0.715
4828.000,665,0.715
4844.000,665,0.715
4844.000,666,0.716
4844.000,665,0.715
4860.000,665,0.715
4860.000,665,0.715
4860.000,665,0.715
4875.000,666,0.716
4875.000,665,0.715
4875.000,666,0.716
4891.000,665,0.715
4891.000,665,0.715
4891.000,665,0.715
4891.000,665,0.715
4907.000,665,0.715
4907.000,666,0.716
4907.000,665,0.715
4922.000,665,0.715
4938.000,665,0.715
4938.000,665,0.715
4938.000,665,0.715
4938.000,666,0.716
4938.000,666,0.716
4953.000,666,0.716
4953.000,665,0.715
4953.000,666,0.716
4969.000,666,0.716
4969.000,667,0.717
4969.000,667,0.717
4985.000,667,0.717
4985.000,667,0.717
4985.000,667,0.717
5000.000,667,0.717
5000.000,667,0.717
5000.000,667,0.717
5016.000,667,0.717
5016.000,667,0.717
5016.000,667,0.717
5032.000,667,0.717
5032.000,668,0.718
5032.000,668,0.718
5047.000,667,0.717
5047.000,668,0.718
5047.000,668,0.718
5047.000,667,0.717
5063.000,667,0.717
5063.000,668,0.718
5063.000,668,0.718
5078.000,667,0.717
5078.000,668,0.718
5078.000,668,0.718
5094.000,668,0.718
5094.000,667,0.717
5094.000,667,0.717
5110.000,667,0.717
5110.000,668,0.718
5110.000,668,0.718
5125.000,668,0.718
5125.000,667,0.717
5125.000,668,0.718
5141.000,668,0.718
5141.000,668,0.718
5157.000,668,0.718
5157.000,667,0.717
5157.000,668,0.718
5157.000,668,0.718
5157.000,668,0.718
5172.000,668,0.718
5172.000,668,0.718
5188.000,668,0.718
5188.000,668,0.718
5188.000,667,0.717
5188.000,667,0.717
5203.000,668,0.718
5203.000,668,0.718
5203.000,668,0.718
5219.000,668,0.718
5219.000,668,0.718
5219.000,668,0.718
5235.000,668,0.718
5235.000,668,0.718
5235.000,668,0.718
5250.000,668,0.718
5250.000,668,0.718
5266.000,668,0.718
5266.000,668,0.718
5266.000,667,0.717
5266.000,668,0.718
5282.000,668,0.718
5282.000,668,0.718
5282.000,668,0.718
5297.000,668,0.718
5297.000,668,0.718
5297.000,668,0.718
5313.000,668,0.718
5313.000,668,0.718
5313.000,668,0.718
5328.000,668,0.718
5328.000,667,0.717
5328.000,668,0.718
5344.000,668,0.718
5344.000,669,0.719
5344.000,668,0.718
5360.000,669,0.719
5360.000,669,0.719
5360.000,668,0.718
5360.000,669,0.719
5375.000,668,0.718
5391.000,668,0.718
5391.000,668,0.718
5391.000,668,0.718
5391.000,668,0.718
5391.000,668,0.718
5407.000,669,0.719
5407.000,668,0.718
5407.000,668,0.718
5422.000,668,0.718
5422.000,669,0.719
5422.000,668,0.718
5438.000,668,0.718
5438.000,669,0.719
5438.000,668,0.718
5453.000,669,0.719
5453.000,669,0.719
5453.000,669,0.719
5453.000,669,0.719
5469.000,668,0.718
5469.000,669,0.719
5485.000,668,0.718
5485.000,669,0.719
5485.000,669,0.719
5485.000,668,0.718
5516.000,668,0.718
5516.000,668,0.718
5516.000,669,0.719
5516.000,669,0.719
5516.000,669,0.719
5516.000,669,0.719
5532.000,669,0.719
5532.000,668,0.718
5532.000,669,0.719
5547.000,669,0.719
5547.000,670,0.720
5547.000,669,0.719
5563.000,669,0.719
5563.000,669,0.719
5563.000,669,0.719
5578.000,669,0.719
5578.000,668,0.718
5578.000,669,0.719
5594.000,669,0.719
5594.000,669,0.719
5594.000,669,0.719
5610.000,669,0.719
5610.000,669,0.719
5625.000,669,0.719
5625.000,669,0.719
5625.000,669,0.719
5625.000,669,0.719
5641.000,669,0.719
5641.000,669,0.719
5641.000,669,0.719
5657.000,669,0.719
5657.000,669,0.719
5657.000,669,0.719
5657.000,669,0.719
5672.000,669,0.719
5672.000,669,0.719
5672.000,669,0.719
5688.000,669,0.719
5688.000,669,0.719
5688.000,669,0.719
5703.000,669,0.719
5703.000,669,0.719
5703.000,669,0.719
5719.000,669,0.719
5719.000,669,0.719
5719.000,669,0.719
5735.000,669,0.719
5735.000,669,0.719
5735.000,669,0.719
5750.000,669,0.719
5750.000,669,0.719
5750.000,669,0.719
5766.000,669,0.719
5766.000,669,0.719
5766.000,669,0.719
5782.000,669,0.719
5782.000,670,0.720
5782.000,669,0.719
5797.000,669,0.719
5797.000,669,0.719
5797.000,670,0.720
5797.000,669,0.719
5813.000,669,0.719
5813.000,669,0.719
5828.000,669,0.719
5828.000,669,0.719
5844.000,669,0.719
5844.000,669,0.719
5844.000,669,0.719
5844.000,669,0.719
5844.000,670,0.720
5860.000,670,0.720
5860.000,670,0.720
5860.000,669,0.719
5875.000,669,0.719
5875.000,669,0.719
5875.000,669,0.719
5891.000,670,0.720
5891.000,669,0.719
5891.000,670,0.720
5907.000,670,0.720
5907.000,670,0.720
5907.000,669,0.719
5922.000,670,0.720
5922.000,669,0.719
5922.000,669,0.719
5938.000,670,0.720
5938.000,670,0.720
5938.000,670,0.720
5953.000,670,0.720
5969.000,670,0.720
5969.000,669,0.719
5969.000,670,0.720
5969.000,670,0.720
5969.000,670,0.720
5969.000,670,0.720
5985.000,669,0.719
5985.000,670,0.720
5985.000,670,0.720
6000.000,670,0.720
6000.000,669,0.719
6000.000,670,0.720
6016.000,670,0.720
6016.000,670,0.720
6016.000,670,0.720
6032.000,670,0.720
6032.000,670,0.720
6032.000,670,0.720
6047.000,670,0.720
6047.000,670,0.720
6047.000,670,0.720
6063.000,670,0.720
6063.000,670,0.720
6063.000,670,0.720
6078.000,670,0.720
6078.000,670,0.720
6078.000,670,0.720
6094.000,670,0.720
6094.000,670,0.720
6094.000,670,0.720
6110.000,670,0.720
6110.000,669,0.719
6110.000,670,0.720
6125.000,670,0.720
6125.000,670,0.720
6125.000,670,0.720
6125.000,670,0.720
6141.000,670,0.720
6141.000,670,0.720
6141.000,670,0.720
6157.000,670,0.720
6157.000,670,0.720
6157.000,670,0.720
6172.000,670,0.720
6172.000,670,0.720
6172.000,670,0.720
6188.000,670,0.720
6188.000,670,0.720
6203.000,670,0.720
6203.000,670,0.720
6203.000,670,0.720
6203.000,670,0.720
6219.000,670,0.720
6219.000,670,0.720
6219.000,670,0.720
6235.000,670,0.720
6235.000,670,0.720
6235.000,670,0.720
6250.000,670,0.720
6250.000,670,0.720
6250.000,670,0.720
6266.000,671,0.722
6266.000,670,0.720
6266.000,670,0.720
6282.000,670,0.720
6282.000,670,0.720
6282.000,670,0.720
6297.000,670,0.720
6297.000,670,0.720
6297.000,670,0.720
6313.000,670,0.720
6313.000,670,0.720
6313.000,670,0.720
6313.000,670,0.720
6328.000,670,0.720
6328.000,671,0.722
6328.000,670,0.720
6344.000,670,0.720
6344.000,670,0.720
6344.000,670,0.720
6360.000,670,0.720
6360.000,670,0.720
6360.000,670,0.720
6375.000,670,0.720
6375.000,670,0.720
6375.000,670,0.720
6391.000,670,0.720
6391.000,670,0.720
6391.000,671,0.722
6407.000,670,0.720
6407.000,670,0.720
6407.000,670,0.720
6422.000,670,0.720
6438.000,670,0.720
6438.000,671,0.722
6438.000,670,0.720
6438.000,670,0.720
6438.000,670,0.720
6438.000,670,0.720
6453.000,670,0.720
6453.000,670,0.720
6453.000,671,0.722
6469.000,671,0.722
6469.000,671,0.722
6469.000,671,0.722
6485.000,670,0.720
6485.000,671,0.722
6485.000,671,0.722
6500.000,670,0.720
